Brand,Model,Selling_Price,Year,Seller_Type,Owner,KM_Driven,Ex_Showroom_Price
TVS,TVS XL 100,30000,2017,Individual,1st owner,8000,30490
Bajaj,Bajaj  ct 100,18000,2017,Individual,1st owner,35000,32000
Yo,Yo Style,20000,2011,Individual,1st owner,10000,37675
Bajaj,Bajaj Discover 100,25000,2010,Individual,1st owner,43000,42859
Bajaj,Bajaj Discover 100,24999,2012,Individual,2nd owner,35000,42859
Bajaj,Bajaj Discover 100,20000,2012,Individual,1st owner,85000,42859
Bajaj,Bajaj Discover 100,30000,2011,Individual,1st owner,45000,42859
Bajaj,Bajaj Discover 100,25000,2010,Individual,2nd owner,28000,42859
Bajaj,Bajaj Discover 100,28000,2015,Individual,2nd owner,52000,42859
Bajaj,Bajaj Discover 100,22000,2014,Individual,1st owner,14289,42859
Bajaj,Bajaj Discover 100,24000,2014,Individual,1st owner,31000,42859
Bajaj,Bajaj Discover 100,21000,2009,Individual,1st owner,50000,42859
Bajaj,Bajaj Discover 100,23000,2012,Individual,1st owner,50000,42859
TVS,TVS Scooty Streak,18000,2009,Individual,2nd owner,33595,44140
Honda,Honda Navi [2016-2017],26000,2016,Individual,1st owner,17450,44389
Honda,Honda Navi [2016-2017],42000,2017,Individual,1st owner,24000,44389
Honda,Honda Navi [2016-2017],23000,2016,Individual,1st owner,17450,44389
Mahindra,Mahindra Flyte,22000,2009,Individual,3rd owner,20000,44493
Bajaj,Bajaj Discover 100 M,20000,2011,Individual,1st owner,37734,44756
Bajaj,Bajaj Discover 100 M,32000,2014,Individual,1st owner,30000,44756
Hero,Hero Splendor NXG,18000,2011,Individual,1st owner,35000,44814
TVS,TVS Star City,15000,2006,Individual,1st owner,40000,46575
Hero,Hero Pleasure [2005-2015],30000,2013,Individual,1st owner,25000,46779
Bajaj,Bajaj Discover 100,27000,2015,Individual,1st owner,21000,47000
Bajaj,Bajaj Discover 100 T,25000,2013,Individual,1st owner,26000,47032
Bajaj,Bajaj Discover 100 T,18000,2013,Individual,1st owner,45000,47032
Bajaj,Bajaj Discover 100 T,25000,2014,Individual,1st owner,30000,47032
Bajaj,Bajaj Discover 100 T,20000,2013,Individual,1st owner,20000,47032
TVS,TVS Star City,21000,2011,Individual,1st owner,101000,47108
TVS,TVS Star City,25000,2016,Individual,1st owner,50000,47108
Bajaj,Bajaj Discover 125 M,45000,2014,Individual,1st owner,40000,47186
Honda,Honda Navi,28000,2016,Individual,2nd owner,10000,47255
Mahindra,Mahindra Rodeo,20000,2013,Individual,1st owner,7000,47343
Hero,Hero Splender Plus,30000,2018,Individual,1st owner,50000,48000
Bajaj,Bajaj Discover 125 M,30000,2014,Individual,1st owner,45000,49146
Honda,Honda CB Twister,70000,2014,Individual,1st owner,12566,49150
Honda,Honda Dream Neo,45000,2017,Individual,2nd owner,21000,49211
Honda,Honda Dream Neo,50000,2014,Individual,1st owner,25000,49211
Hero,Hero Maestro,25000,2015,Individual,2nd owner,40000,49412
Hero,Hero Maestro,30000,2013,Individual,1st owner,60000,49412
Hero,Hero Maestro,50000,2016,Individual,1st owner,100000,49412
Yamaha,Yamaha Saluto RX,40000,2017,Individual,1st owner,27000,49521
Hero,Hero Pleasure,26500,2013,Individual,1st owner,18860,49600
Hero,Hero Pleasure,20000,2012,Individual,2nd owner,30000,49600
Hero,Hero Pleasure,30000,2013,Individual,1st owner,25000,49600
Hero,Hero Splendor PRO,28000,2015,Individual,1st owner,38000,49642
Hero,Hero Splendor PRO,35000,2015,Individual,2nd owner,24000,49900
Suzuki,Suzuki Let''s,34000,2014,Individual,1st owner,8000,50098
Honda,Honda Activa [2000-2015],22989,2012,Individual,1st owner,500000,50267
Honda,Honda Activa [2000-2015],30000,2014,Individual,1st owner,52000,50267
Honda,Honda Activa [2000-2015],25000,2014,Individual,1st owner,41000,50267
Honda,Honda Activa [2000-2015],20000,2010,Individual,1st owner,50000,50267
Honda,Honda Activa [2000-2015],35000,2014,Individual,1st owner,10000,50267
Honda,Honda Activa [2000-2015],29500,2013,Individual,1st owner,45000,50267
Honda,Honda Activa [2000-2015],10000,2009,Individual,1st owner,60000,50267
Honda,Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267
Honda,Honda Activa [2000-2015],25000,2009,Individual,1st owner,585659,50267
Honda,Honda Activa [2000-2015],22000,2014,Individual,1st owner,38000,50267
Honda,Honda Activa [2000-2015],25000,2012,Individual,1st owner,40000,50267
Honda,Honda Activa [2000-2015],30000,2012,Individual,1st owner,22000,50267
Honda,Honda Activa [2000-2015],35000,2013,Individual,1st owner,29500,50267
Honda,Honda Activa [2000-2015],50000,2014,Individual,1st owner,48000,50267
Honda,Honda Activa [2000-2015],15000,2006,Individual,1st owner,50000,50267
Honda,Honda Activa [2000-2015],16600,2010,Individual,1st owner,100000,50267
Honda,Honda Activa [2000-2015],25000,2012,Individual,1st owner,38000,50267
Honda,Honda Activa [2000-2015],6000,2006,Individual,2nd owner,35000,50267
Honda,Honda Activa [2000-2015],23000,2009,Individual,1st owner,95000,50267
Honda,Honda Activa [2000-2015],25000,2015,Individual,1st owner,25000,50267
Honda,Honda Activa [2000-2015],25000,2007,Individual,1st owner,17860,50267
Honda,Honda Activa [2000-2015],35000,2012,Individual,1st owner,29000,50267
